k_value,p_value,paa_value,max_level,ncp
7,3,3,8,6.100768461971089
7,3,3,9,7.215381456186169
7,3,3,10,7.413415438557851
7,3,4,5,9.491217437944586
7,3,4,6,9.240877734077046
7,3,4,7,7.8531734584607
7,3,4,8,9.577075505727711
7,3,4,9,6.6511842077612
7,3,4,10,6.774378906083027
7,3,5,5,6.038118735066571
7,3,5,6,6.304547018241657
7,3,5,7,9.302533599388626
7,3,5,8,6.76447000510536
7,3,5,9,9.203730932038079
7,3,5,10,7.32609829064666
7,2,3,5,5.1951560930021
7,2,3,6,6.588249355127111
7,2,3,7,6.82291084561748
7,2,3,8,6.747654597758311
7,2,3,9,8.599631144343991
7,2,3,10,4.869738563309436
7,2,4,5,7.413482383613402
7,2,4,6,4.349216290917533
7,2,4,7,5.009618924725378
7,2,4,8,5.038523914717059
7,2,4,9,5.485434904823233
7,2,4,10,8.69905876491501
7,2,5,5,7.479133393570007
7,2,5,6,6.323056661668964
7,2,5,7,6.996934429410757
7,2,5,8,7.06569578332768
7,2,5,9,7.484363273222217
7,2,5,10,7.280209268624042
8,7,3,5,11.83204433869024
8,7,3,6,8.730793237869594
8,7,3,7,9.301297489292159
8,7,3,8,11.483630624770992
8,7,3,9,15.503751697245884
8,7,3,10,15.365409106767657
8,7,4,5,9.848886480677987
8,7,4,6,10.049209369040113
8,7,4,7,9.840859417314467
8,7,4,8,12.274332838830231
8,7,4,9,12.573866453787623
8,7,4,10,12.637668382886954
8,7,5,5,10.408111780053604
8,7,5,6,10.57621584710827
8,7,5,7,13.127284638265662
8,7,5,8,13.097854776082508
8,7,5,9,12.187213660621454
8,7,5,10,12.144487361666508
8,6,3,5,8.607957440403116
8,6,3,6,6.974871940987824
8,6,3,7,8.602991797891288
8,6,3,8,9.648331740812827
8,6,3,9,10.961811345599969
8,6,3,10,13.350329160852379
8,6,4,5,7.61610031193122
8,6,4,6,10.593560461903522
8,6,4,7,10.151115597088552
8,6,4,8,12.875367723023283
8,6,4,9,13.556722250992
