['k_value', 'p_value', 'paa_value', 'max_level', 'ncp']
[8, 3, 4, 10, 232.01557936819816]
[8, 3, 5, 5, 193.85527320650155]
[8, 3, 5, 6, 191.64769337674446]
[8, 3, 5, 7, 197.11030020676205]
[8, 3, 5, 8, 198.65881185575014]
[8, 3, 5, 9, 196.79608221809855]
[8, 3, 5, 10, 189.82929701404174]
[9, 3, 3, 5, 166.40042771502232]
[9, 3, 3, 6, 156.9187088477937]
[9, 3, 3, 7, 197.2730325118095]
[9, 3, 3, 8, 201.51327417749238]
[9, 3, 3, 9, 218.91735943604237]
[9, 3, 3, 10, 220.22615188393735]
[9, 3, 4, 5, 217.02298837394153]
[9, 3, 4, 6, 216.15046676015191]
[9, 3, 4, 7, 228.82535043707054]
[9, 3, 4, 8, 233.67708204834773]
[9, 3, 4, 9, 230.73338373211294]
[9, 3, 4, 10, 230.70942946024644]
[9, 3, 5, 5, 204.45795643538565]
[9, 3, 5, 6, 201.38717069177898]
[9, 3, 5, 7, 199.05319374898212]
[9, 3, 5, 8, 203.62157709712167]
[9, 3, 5, 9, 203.34917785678857]
[9, 3, 5, 10, 205.3751966827672]
[5, 4, 3, 5, 154.59615701243635]
[5, 4, 3, 6, 152.83111867704977]
[5, 4, 3, 7, 188.56277878244802]
[5, 4, 3, 8, 202.3900359277285]
[5, 4, 3, 9, 215.4236684454077]
[5, 4, 3, 10, 220.5673888712007]
[5, 4, 4, 5, 224.49722249464583]
[5, 4, 4, 6, 219.48856262468672]
[5, 4, 4, 7, 228.856761211465]
[5, 4, 4, 8, 231.34367765848936]
[5, 4, 4, 9, 230.42711999949123]
[5, 4, 4, 10, 229.37913282679847]
[5, 4, 5, 5, 190.10748167349234]
[5, 4, 5, 6, 192.39688847113246]
[5, 4, 5, 7, 187.8537234068065]
[5, 4, 5, 8, 186.94848546937294]
[5, 4, 5, 9, 189.53755471370994]
[5, 4, 5, 10, 190.45167292032173]
[6, 4, 3, 5, 163.83349637436035]
[6, 4, 3, 6, 160.62104051004948]
[6, 4, 3, 7, 207.3211059028536]
[6, 4, 3, 8, 209.9511723071828]
[6, 4, 3, 9, 223.57273470023074]
[6, 4, 3, 10, 223.81307564160448]
[6, 4, 4, 5, 231.31790579172952]
[6, 4, 4, 6, 229.84806124279805]
[6, 4, 4, 7, 237.40175628048272]
[6, 4, 4, 8, 239.4364721511526]
[6, 4, 4, 9, 237.05276721334351]
[6, 4, 4, 10, 238.5806501694446]
[6, 4, 5, 5, 198.58523109906633]
[6, 4, 5, 6, 196.12849162184406]
[6, 4, 5, 7, 197.54688571255187]
[6, 4, 5, 8, 197.66511704755706]
[6, 4, 5, 9, 198.8748821838143]
[6, 4, 5, 10, 197.08392851882184]
[7, 4, 3, 5, 166.71172623102328]
[7, 4, 3, 6, 161.96095844551428]
[7, 4, 3, 7, 206.14375702289084]
[7, 4, 3, 8, 222.31909090038548]
[7, 4, 3, 9, 229.9691508547257]
[7, 4, 3, 10, 231.66800299053577]
[7, 4, 4, 5, 235.52405737092064]
[7, 4, 4, 6, 234.96769608995174]
[7, 4, 4, 7, 242.58354808479893]
[7, 4, 4, 8, 245.50757484578168]
[7, 4, 4, 9, 245.25486868412887]
[7, 4, 4, 10, 245.48886005212913]
[7, 4, 5, 5, 207.85125912601885]
[7, 4, 5, 6, 200.9902259402923]
[7, 4, 5, 7, 209.0528177462199]
[7, 4, 5, 8, 207.00657584899272]
[7, 4, 5, 9, 202.65279453424]
[7, 4, 5, 10, 202.6133198097962]
[8, 4, 3, 5, 177.04562193999485]
[8, 4, 3, 6, 177.08768359580986]
[8, 4, 3, 7, 213.14665449705933]
[8, 4, 3, 8, 220.5926978827762]
[8, 4, 3, 9, 235.60465356797326]
[8, 4, 3, 10, 240.66565270742493]
[8, 4, 4, 5, 243.54510532441003]
[8, 4, 4, 6, 241.619744065485]
[8, 4, 4, 7, 256.26245147572916]
[8, 4, 4, 8, 254.88056602435154]
[8, 4, 4, 9, 256.5783614195123]
[8, 4, 4, 10, 257.03127744592564]
[8, 4, 5, 5, 209.56746977035274]
[8, 4, 5, 6, 210.18046201038538]
[8, 4, 5, 7, 211.7290414934407]
[8, 4, 5, 8, 210.91999118685723]
[8, 4, 5, 9, 211.59006332035753]
[8, 4, 5, 10, 210.95087034683485]
[9, 4, 3, 5, 182.62010539287817]
[9, 4, 3, 6, 184.67199912145003]
[9, 4, 3, 7, 223.32065566817852]
[9, 4, 3, 8, 233.69280690498397]
[9, 4, 3, 9, 249.2032930082622]
[9, 4, 3, 10, 244.2565435711929]
[9, 4, 4, 5, 252.19312723715572]
[9, 4, 4, 6, 251.89971698917452]
[9, 4, 4, 7, 255.47041978061364]
[9, 4, 4, 8, 254.82893536016354]
[9, 4, 4, 9, 257.79079313507435]
[9, 4, 4, 10, 261.4199493912451]
[9, 4, 5, 5, 220.2740334439942]
[9, 4, 5, 6, 213.91041376947558]
[9, 4, 5, 7, 218.987022952098]
[9, 4, 5, 8, 220.31641735869061]
[9, 4, 5, 9, 217.80147300503495]
